pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.035,0.789,0.636
8tuz-assembly1,0.048,0.789,0.636
7xld-assembly1,0.03,0.609,0.599
8bf4-assembly1,0.015,0.264,0.471
8pyr-assembly1,0.008,0.16,0.275
8pyr-assembly1,0.022,0.16,0.275
8pih-assembly1,0.016,0.582,0.344
8fdo-assembly1,0.012,0.792,0.781
8fdd-assembly1,0.168,0.855,0.947
8fdd-assembly1,0.163,0.855,0.947
7x8p-assembly1,0.053,0.706,0.717
7x8p-assembly1,0.057,0.706,0.717
8h63-assembly1,0.066,0.761,0.72
8ux6-assembly1,0.294,0.883,0.925
8ux6-assembly1,0.133,0.883,0.925
8w90-assembly1,0.007,0.732,0.562
8e0e-assembly1,0.01,0.257,0.39
8hxq-assembly1,0.314,0.637,0.41
8ido-assembly1,0.021,0.795,0.566
