pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.018,0.792,0.689
8tuz-assembly1,0.039,0.792,0.689
7xld-assembly1,0.202,0.727,0.701
8bf4-assembly1,0.016,0.278,0.45
8pyr-assembly1,0.007,0.245,0.275
8pyr-assembly1,0.017,0.245,0.275
8pih-assembly1,0.012,0.581,0.34
8fdo-assembly1,0.124,0.791,0.885
8fdd-assembly1,0.278,0.862,0.969
8fdd-assembly1,0.261,0.862,0.969
7x8p-assembly1,0.066,0.72,0.783
7x8p-assembly1,0.053,0.72,0.783
8h63-assembly1,0.039,0.757,0.71
8ux6-assembly1,0.061,0.883,0.959
8ux6-assembly1,0.063,0.883,0.959
8w90-assembly1,0.007,0.733,0.564
8e0e-assembly1,0.019,0.353,0.348
8hxq-assembly1,0.308,0.631,0.407
8ido-assembly1,0.026,0.786,0.568
